"AptName"	"SeqId"	"SeqIdVersion"	"SomaId"	"TargetFullName"	"Target"	"UniProt"	"EntrezGeneID"	"EntrezGeneSymbol"	"Organism"	"Units"	"Type"	"Dilution"	"PlateScale_Reference"	"CalReference"	"Cal_Example_Adat_Set001"	"ColCheck"	"CalQcRatio_Example_Adat_Set001_170255"	"QcReference_170255"	"Cal_Example_Adat_Set002"	"CalQcRatio_Example_Adat_Set002_170255"	"Dilution2"
"seq.10021.1"	"10021-1"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	911.6	911.6	1.06160475	"PASS"	1.008	768.2	1.12612724	0.991	0.2
"seq.10022.207"	"10022-207"	3	"SL019229"	"DNA polymerase eta"	"POLH"	"Q9Y253"	"5429"	"POLH"	"Human"	"RFU"	"Protein"	"20"	202.6	202.6	0.9565628	"PASS"	0.957	199.7	1.02116935	0.897	0.2
"seq.10023.32"	"10023-32"	3	"SL004071"	"Vitamin D3 receptor"	"VDR"	"P11473"	"7421"	"VDR"	"Human"	"RFU"	"Protein"	"20"	489.2	489.2	0.98154093	"PASS"	0.95	457.9	1.44136712	0.88	0.2
"seq.10024.44"	"10024-44"	3	"SL019235"	"4-hydroxy-2-oxoglutarate aldolase, mitochondrial"	"HOGA1"	"Q86XE5"	"112817"	"HOGA1"	"Human"	"RFU"	"Protein"	"20"	851.9	851.9	1.04553265	"PASS"	1.031	723.4	1.15511864	0.984	0.2
"seq.10030.8"	"10030-8"	3	"SL006373"	"Adenine DNA glycosylase"	"MutY homolog"	"Q9UIF7"	"4595"	"MUTYH"	"Human"	"RFU"	"Protein"	"20"	198.8	198.8	0.99749122	"PASS"	0.983	197.2	0.95074127	1.016	0.2
"seq.10034.16"	"10034-16"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	3449.8	3449.8	1.16898784	"PASS"	0.957	2779	1.0701036	1.013	0.2
"seq.10035.6"	"10035-6"	3	"SL007389"	"Dual specificity protein phosphatase 4"	"DUS4"	"Q13115"	"1846"	"DUSP4"	"Human"	"RFU"	"Protein"	"20"	570.1	570.1	0.99912373	"PASS"	0.99	552.6	1.02869	0.966	0.2
"seq.10036.201"	"10036-201"	3	"SL019252"	"Zinc fingers and homeoboxes protein 3"	"ZHX3"	"Q9H4I2"	"23051"	"ZHX3"	"Human"	"RFU"	"Protein"	"0.5"	2890.8	2890.8	0.97602809	"PASS"	1.037	2876.7	0.83281957	1.018	0.005
"seq.10037.98"	"10037-98"	3	"SL018490"	"Sialic acid-binding Ig-like lectin 12"	"SIG12"	"Q96PQ1"	"89858"	"SIGLEC12"	"Human"	"RFU"	"Protein"	"20"	191.7	191.7	1.0116095	"PASS"	0.979	165.6	1.10873337	0.958	0.2
"seq.10040.63"	"10040-63"	3	"SL007662"	"Tumor protein 63"	"P73L"	"Q9H3D4"	"8626"	"TP63"	"Human"	"RFU"	"Protein"	"20"	476.3	476.3	0.96966612	"PASS"	0.994	1245.1	0.96632177	0.927	0.2
"seq.10041.3"	"10041-3"	3	"SL007226"	"Hepatocyte nuclear factor 4-alpha"	"HNF4A"	"P41235"	"3172"	"HNF4A"	"Human"	"RFU"	"Protein"	"0.5"	34649.9	34649.9	0.89768441	"PASS"	1.101	43259.2	0.88245152	1.029	0.005
"seq.10042.8"	"10042-8"	3	"SL015131"	"Serine/threonine-protein kinase Sgk3"	"SGK3"	"Q96BR1"	"23678"	"SGK3"	"Human"	"RFU"	"Protein"	"20"	745.5	745.5	1.00743243	"PASS"	1.003	709.4	1.0089322	0.981	0.2
"seq.10043.31"	"10043-31"	3	"SL019249"	"Bromodomain-containing protein 4"	"BRD4"	"O60885"	"23476"	"BRD4"	"Human"	"RFU"	"Protein"	"20"	449.1	449.1	1.0601983	"PASS"	0.956	567.8	1.0606991	0.943	0.2
"seq.10044.12"	"10044-12"	3	"SL012823"	"Protein Wnt-10a"	"WN10A"	"Q9GZT5"	"80326"	"WNT10A"	"Human"	"RFU"	"Protein"	"20"	868.8	868.8	1.05770636	"FLAG"	0.734	761.9	3.17776152	0.58	0.2
"seq.10045.47"	"10045-47"	3	"SL010989"	"Cullin-3"	"CUL3"	"Q13618"	"8452"	"CUL3"	"Human"	"RFU"	"Protein"	"20"	588.3	588.3	0.97127291	"PASS"	0.967	421.1	1.12874137	0.982	0.2
"seq.10046.55"	"10046-55"	3	"SL003727"	"Baculoviral IAP repeat-containing protein 2"	"cIAP-1"	"Q13490"	"329"	"BIRC2"	"Human"	"RFU"	"Protein"	"20"	943.9	943.9	1.04773005	"PASS"	1.009	709.9	0.97239106	0.999	0.2
"seq.10047.12"	"10047-12"	3	"SL004553"	"Neutrophil cytosol factor 2"	"NCF-2"	"P19878"	"4688"	"NCF2"	"Human"	"RFU"	"Protein"	"0.5"	434.4	434.4	0.9801444	"PASS"	1.109	10659.8	0.91722973	1.099	0.005
"seq.10048.7"	"10048-7"	3	"SL011998"	"Core-binding factor subunit beta"	"PEBB"	"Q13951"	"865"	"CBFB"	"Human"	"RFU"	"Protein"	"20"	1525.1	1525.1	1.01154076	"PASS"	1.018	1542.8	0.95870003	1.048	0.2
"seq.10049.112"	"10049-112"	3	"SL019242"	"Telomeric repeat-binding factor 1"	"TERF1"	"P54274"	"7013"	"TERF1"	"Human"	"RFU"	"Protein"	"20"	469	469	1.03991131	"PASS"	1.027	468	1.06132609	0.978	0.2
"seq.10053.5"	"10053-5"	3	"SL004474"	"Integrin-linked protein kinase"	"ILK1"	"Q13418"	"3611"	"ILK"	"Human"	"RFU"	"Protein"	"20"	1238.2	1238.2	0.89400722	"PASS"	1.014	2210.7	0.87884165	1.052	0.2
"seq.10054.3"	"10054-3"	3	"SL019232"	"Gigaxonin"	"GAN"	"Q9H2C0"	"8139"	"GAN"	"Human"	"RFU"	"Protein"	"20"	368.2	368.2	0.95735829	"PASS"	0.99	384.7	0.93880673	0.984	0.2
"seq.10056.5"	"10056-5"	3	"SL007372"	"Forkhead box protein M1"	"FOXM1"	"Q08050"	"2305"	"FOXM1"	"Human"	"RFU"	"Protein"	"20"	760.4	760.4	1.00118499	"PASS"	0.972	734.6	0.98868808	0.985	0.2
"seq.10058.1"	"10058-1"	3	"SL013796"	"UV excision repair protein RAD23 homolog A"	"RD23A"	"P54725"	"5886"	"RAD23A"	"Human"	"RFU"	"Protein"	"20"	8880.1	8880.1	1.03531455	"PASS"	1.078	4529.3	0.90923146	1.062	0.2
"seq.10063.10"	"10063-10"	3	"SL019237"	"E3 ubiquitin-protein ligase FANCL"	"FANCL"	"Q9NW38"	"55120"	"FANCL"	"Human"	"RFU"	"Protein"	"20"	445	445	1.00861287	"PASS"	0.96	425.6	1.03632976	0.969	0.2
"seq.10064.12"	"10064-12"	3	"SL011550"	"Putative hydrolase RBBP9"	"RBBP9"	"O75884"	"10741"	"RBBP9"	"Human"	"RFU"	"Protein"	"0.5"	1297.9	1297.9	0.96901598	"PASS"	1.047	1451.7	0.98752187	1.01	0.005
"seq.10070.22"	"10070-22"	3	"SL016406"	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	"PLCG2"	"P16885"	"5336"	"PLCG2"	"Human"	"RFU"	"Protein"	"20"	485.9	485.9	1.01123829	"PASS"	0.996	582.5	1.00268262	0.99	0.2
"seq.10073.22"	"10073-22"	3	"SL011411"	"Tyrosyl-DNA phosphodiesterase 1"	"TYDP1"	"Q9NUW8"	"55775"	"TDP1"	"Human"	"RFU"	"Protein"	"20"	529.2	529.2	0.9803631	"PASS"	0.97	552.1	1.01359893	0.952	0.2
"seq.10074.128"	"10074-128"	3	"SL014748"	"Bromodomain-containing protein 2"	"BRD2"	"P25440"	"6046"	"BRD2"	"Human"	"RFU"	"Protein"	"20"	711	711	1.02023246	"PASS"	0.988	866.6	1.02909249	0.948	0.2
"seq.10075.75"	"10075-75"	3	"SL019254"	"Acyl-CoA-binding domain-containing protein 6"	"ACBD6"	"Q9BR61"	"84320"	"ACBD6"	"Human"	"RFU"	"Protein"	"20"	108.9	108.9	0.96972395	"PASS"	1.034	113.7	0.92680851	1.019	0.2
"seq.10076.1"	"10076-1"	3	"SL019225"	"AP-4 complex subunit mu-1"	"AP4M1"	"O00189"	"9179"	"AP4M1"	"Human"	"RFU"	"Protein"	"20"	956.2	956.2	1.0108891	"PASS"	1.032	865.5	1.0283932	0.977	0.2
"seq.10078.5"	"10078-5"	3	"SL007063"	"BAG family molecular chaperone regulator 3"	"BAG3"	"O95817"	"9531"	"BAG3"	"Human"	"RFU"	"Protein"	"20"	616.4	616.4	1.01951704	"PASS"	0.952	587	1.17253186	0.892	0.2
"seq.10080.9"	"10080-9"	3	"SL019240"	"Translation initiation factor eIF-2B subunit alpha"	"EI2BA"	"Q14232"	"1967"	"EIF2B1"	"Human"	"RFU"	"Protein"	"20"	711.4	711.4	0.96356495	"PASS"	0.974	435.2	0.94075641	0.992	0.2
"seq.10081.17"	"10081-17"	3	"SL019243"	"DNA-binding protein SATB2"	"SATB2"	"Q9UPW6"	"23314"	"SATB2"	"Human"	"RFU"	"Protein"	"20"	553.3	553.3	1.04180004	"PASS"	0.904	475	1.25635786	1.058	0.2
"seq.10082.251"	"10082-251"	3	"SL019251"	"Neurofilament light polypeptide"	"NFL"	"P07196"	"4747"	"NEFL"	"Human"	"RFU"	"Protein"	"0.5"	704.4	704.4	1.04185771	"PASS"	0.993	831.1	1.07574832	0.931	0.005
"seq.10085.25"	"10085-25"	3	"SL001714"	"Steroidogenic acute regulatory protein, mitochondrial"	"STAR"	"P49675"	"6770"	"STAR"	"Human"	"RFU"	"Protein"	"0.5"	1305.4	1305.4	0.99239775	"PASS"	1.05	1718	0.93724871	1.033	0.005
"seq.10086.39"	"10086-39"	3	"SL018882"	"Cystathionine beta-synthase"	"CBS"	"P35520"	"875"	"CBS"	"Human"	"RFU"	"Protein"	"20"	1914.8	1914.8	0.9927416	"PASS"	0.989	2103.7	0.97958766	0.97	0.2
"seq.10087.10"	"10087-10"	3	"SL003675"	"Alpha-crystallin A chain"	"Alpha crystallin A chain"	"P02489"	"102724652"	"CRYAA"	"Human"	"RFU"	"Protein"	"20"	374.5	374.5	1.02771679	"PASS"	0.878	1980.7	0.99100291	0.947	0.2
"seq.10088.37"	"10088-37"	3	"SL008014"	"Adenine phosphoribosyltransferase"	"APT"	"P07741"	"353"	"APRT"	"Human"	"RFU"	"Protein"	"20"	287.8	287.8	0.83203238	"PASS"	1.121	322	0.86660644	1.108	0.2
"seq.10089.7"	"10089-7"	3	"SL019244"	"N-acetylserotonin O-methyltransferase-like protein"	"ASML"	"O95671"	"8623"	"ASMTL"	"Human"	"RFU"	"Protein"	"20"	448.9	448.9	0.99711239	"PASS"	1.035	374.2	0.94604847	0.973	0.2
"seq.10336.3"	"10336-3"	3	"SL019100"	"E3 ubiquitin-protein ligase CHIP"	"CHIP"	"Q9UNE7"	"10273"	"STUB1"	"Human"	"RFU"	"Protein"	"20"	738.1	738.1	0.91202274	"FLAG"	0.999	648.8	1.50786517	0.741	0.2
"seq.10339.48"	"10339-48"	3	"SL001731"	"Gamma-enolase"	"NSE"	"P09104"	"2026"	"ENO2"	"Human"	"RFU"	"Protein"	"20"	6681	6681	0.91018078	"PASS"	0.981	8748	0.87189727	0.992	0.2
"seq.10342.55"	"10342-55"	3	"SL019096"	"E3 SUMO-protein ligase PIAS4"	"PIAS4"	"Q8N2W9"	"51588"	"PIAS4"	"Human"	"RFU"	"Protein"	"20"	393.5	393.5	1.04293666	"FLAG"	0.846	328.3	2.0409751	0.725	0.2
"seq.10344.334"	"10344-334"	3	"SL005173"	"Interleukin-10 receptor subunit alpha"	"IL-10 Ra"	"Q13651"	"3587"	"IL10RA"	"Human"	"RFU"	"Protein"	"20"	3933.5	3933.5	1.03260442	"PASS"	1.088	3591.9	0.89501468	1.174	0.2
"seq.10346.5"	"10346-5"	3	"SL007221"	"Signal transducer and activator of transcription 3"	"STAT3"	"P40763"	"6774"	"STAT3"	"Human"	"RFU"	"Protein"	"20"	3942	3942	0.98591902	"PASS"	0.952	4661.1	0.93206914	1.014	0.2
"seq.10356.21"	"10356-21"	3	"SL000455"	"Transcription factor AP-1"	"c-Jun"	"P05412"	"3725"	"JUN"	"Human"	"RFU"	"Protein"	"20"	1571.4	1571.4	1.06564492	"PASS"	0.986	1668.8	1.12847397	1.024	0.2
"seq.10361.25"	"10361-25"	3	"SL014684"	"2'-5'-oligoadenylate synthase 1"	"OAS1"	"P00973"	"4938"	"OAS1"	"Human"	"RFU"	"Protein"	"20"	375.5	375.5	1.06980057	"PASS"	0.99	385	1.03301238	0.969	0.2
"seq.10362.35"	"10362-35"	3	"SL002565"	"Myc proto-oncogene protein"	"c-Myc"	"P01106"	"4609"	"MYC"	"Human"	"RFU"	"Protein"	"20"	546.8	546.8	0.99726427	"PASS"	1.022	319	0.99436261	1.06	0.2
"seq.10363.13"	"10363-13"	3	"SL004097"	"Mothers against decapentaplegic homolog 3"	"SMAD3"	"P84022"	"4088"	"SMAD3"	"Human"	"RFU"	"Protein"	"20"	2560.7	2560.7	0.9780757	"PASS"	0.959	2671.3	1.12691986	0.943	0.2
"seq.10364.6"	"10364-6"	3	"SL004101"	"Mothers against decapentaplegic homolog 2"	"SMAD2"	"Q15796"	"4087"	"SMAD2"	"Human"	"RFU"	"Protein"	"20"	1277.6	1277.6	0.99385453	"PASS"	1.032	978.4	0.96949461	1.06	0.2
"seq.10365.132"	"10365-132"	3	"SL005184"	"Interleukin-23"	"IL-23"	"P29460, Q9NPF7"	"3593 51561"	"IL12B IL23A"	"Human"	"RFU"	"Protein"	"20"	863.2	863.2	0.97119712	"PASS"	1.001	1083.3	0.9566663	0.973	0.2
"seq.10366.11"	"10366-11"	3	"SL001728"	"Platelet-derived growth factor receptor alpha"	"PDGFRA"	"P16234"	"5156"	"PDGFRA"	"Human"	"RFU"	"Protein"	"20"	1694	1694	0.96667428	"PASS"	1.04	1909.2	0.96579247	1.004	0.2
"seq.10367.62"	"10367-62"	3	"SL001716"	"Interleukin-12"	"IL-12"	"P29459,  P29460"	"3592 3593"	"IL12A IL12B"	"Human"	"RFU"	"Protein"	"20"	206.6	206.6	0.99566265	"PASS"	1.079	203.2	1.0043753	0.984	0.2
"seq.10370.21"	"10370-21"	3	"SL004396"	"Signal transducer and activator of transcription 1-alpha/beta"	"STAT1"	"P42224"	"6772"	"STAT1"	"Human"	"RFU"	"Protein"	"20"	382.5	382.5	0.9651779	"PASS"	0.912	414.4	1.04223433	0.941	0.2
"seq.10372.18"	"10372-18"	3	"SL007229"	"Signal transducer and activator of transcription 6"	"STAT6"	"P42226"	"6778"	"STAT6"	"Human"	"RFU"	"Protein"	"20"	2325.7	2325.7	0.9488393	"PASS"	0.992	2361.5	0.99759791	0.984	0.2
"seq.10390.21"	"10390-21"	3	"SL018971"	"E3 ubiquitin-protein ligase ZNRF3"	"ZNRF3"	"Q9ULT6"	"84133"	"ZNRF3"	"Human"	"RFU"	"Protein"	"20"	532.4	532.4	0.99254288	"PASS"	0.995	383.2	1.01680672	1.006	0.2
"seq.10391.1"	"10391-1"	3	"SL006803"	"Angiopoietin-related protein 3"	"ANGL3"	"Q9Y5C1"	"27329"	"ANGPTL3"	"Human"	"RFU"	"Protein"	"0.005"	1025.3	1025.3	0.98681424	"PASS"	0.961	1061.2	1.06913452	0.89	5e-05
"seq.10396.6"	"10396-6"	3	"SL003755"	"Induced myeloid leukemia cell differentiation protein Mcl-1"	"Mcl-1"	"Q07820"	"4170"	"MCL1"	"Human"	"RFU"	"Protein"	"20"	223.2	223.2	0.94058154	"PASS"	0.999	298.3	0.80086114	1.061	0.2
"seq.10416.79"	"10416-79"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	1267	1267	1.08690057	"PASS"	1.017	893.8	1.13246335	1.074	0.2
"seq.10418.36"	"10418-36"	3	"SL011111"	"Syntaxin-12"	"STX12"	"Q86Y82"	"23673"	"STX12"	"Human"	"RFU"	"Protein"	"20"	1737.6	1737.6	1.00201834	"PASS"	0.997	1849.1	1.04586493	0.999	0.2
"seq.10419.1"	"10419-1"	3	"SL014110"	"Scavenger receptor class A member 5"	"SCAR5"	"Q6ZMJ2"	"286133"	"SCARA5"	"Human"	"RFU"	"Protein"	"20"	5784.7	5784.7	0.93333226	"PASS"	0.937	6686.7	0.90945823	1.006	0.2
"seq.10424.31"	"10424-31"	3	"SL015264"	"Neural proliferation differentiation and control protein 1"	"NPDC1"	"Q9NQX5"	"56654"	"NPDC1"	"Human"	"RFU"	"Protein"	"20"	494.2	494.2	1.00549339	"PASS"	1.012	478.3	0.86383499	1.019	0.2
"seq.10425.3"	"10425-3"	3	"SL017972"	"Beta-1,4-galactosyltransferase 5"	"B4GT5"	"O43286"	"9334"	"B4GALT5"	"Human"	"RFU"	"Protein"	"20"	545.3	545.3	1.02461481	"PASS"	1.019	566.4	1.07596685	0.978	0.2
"seq.10426.21"	"10426-21"	3	"SL018004"	"Golgi SNAP receptor complex member 2"	"GOSR2"	"O14653"	"9570"	"GOSR2"	"Human"	"RFU"	"Protein"	"20"	154.5	154.5	1.06698895	"FLAG"	0.849	132.8	7.28773585	0.442	0.2
"seq.10427.2"	"10427-2"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	1262.4	1262.4	0.96499006	"FLAG"	0.914	1066.6	1.45521614	0.773	0.2
"seq.10428.1"	"10428-1"	3	"SL018045"	"Killer cell immunoglobulin-like receptor 2DS2"	"KI2S2"	"P43631"	"100132285"	"KIR2DS2"	"Human"	"RFU"	"Protein"	"20"	2267.2	2267.2	0.92233839	"PASS"	1.097	1921.5	0.75229784	1.045	0.2
"seq.10430.31"	"10430-31"	3	"SL008664"	"4F2 cell-surface antigen heavy chain"	"4F2"	"P08195"	"6520"	"SLC3A2"	"Human"	"RFU"	"Protein"	"20"	156.1	156.1	1.04066667	"PASS"	0.842	143.8	1.4782197	0.863	0.2
"seq.10432.3"	"10432-3"	3	"SL018002"	"Uncharacterized protein KIAA1644"	"K1644"	"Q3SXP7"	"85352"	"KIAA1644"	"Human"	"RFU"	"Protein"	"20"	136.7	136.7	0.96471418	"PASS"	1.041	118.8	0.94996525	1.045	0.2
"seq.10435.2"	"10435-2"	3	"SL008645"	"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase"	"ASPG"	"P20933"	"175"	"AGA"	"Human"	"RFU"	"Protein"	"20"	656.9	656.9	0.96489424	"PASS"	1.044	759.8	0.88782268	1.035	0.2
"seq.10438.19"	"10438-19"	3	"SL007128"	"Granulocyte-macrophage colony-stimulating factor receptor subunit alpha"	"CSF2R"	"P15509"	"1438"	"CSF2RA"	"Human"	"RFU"	"Protein"	"0.5"	1074.2	1074.2	0.98226042	"PASS"	1	1160.1	0.99545918	1.011	0.005
"seq.10440.26"	"10440-26"	3	"SL008621"	"CXADR-like membrane protein"	"ACAM"	"Q9H6B4"	"79827"	"CLMP"	"Human"	"RFU"	"Protein"	"20"	1118.3	1118.3	0.97779138	"PASS"	1.026	1282.2	0.99910658	1.007	0.2
"seq.10442.1"	"10442-1"	3	"SL018089"	"Transmembrane protein 190"	"TM190"	"Q8WZ59"	"147744"	"TMEM190"	"Human"	"RFU"	"Protein"	"20"	264.3	264.3	0.92348008	"PASS"	0.951	266.1	1.05424811	1.015	0.2
"seq.10445.20"	"10445-20"	3	"SL004747"	"Apolipoprotein M"	"ApoM"	"O95445"	"55937"	"APOM"	"Human"	"RFU"	"Protein"	"0.005"	984.1	984.1	1.07329044	"PASS"	0.902	865.5	1.21508828	0.923	5e-05
"seq.10447.18"	"10447-18"	3	"SL018138"	"Polyadenylate-binding protein 3"	"PABP3"	"Q9H361"	"5042"	"PABPC3"	"Human"	"RFU"	"Protein"	"20"	2321.9	2321.9	1.00181214	"PASS"	0.959	2697.4	0.94045931	1.022	0.2
"seq.10449.31"	"10449-31"	3	"SL008887"	"Protein shisa-2 homolog"	"TMM46"	"Q6UWI4"	"387914"	"SHISA2"	"Human"	"RFU"	"Protein"	"20"	2510.1	2510.1	1.12712169	"FLAG"	1.109	2022.5	1.19182375	1.242	0.2
"seq.10451.11"	"10451-11"	3	"SL008914"	"Nucleobindin-1"	"NUCB1"	"Q02818"	"4924"	"NUCB1"	"Human"	"RFU"	"Protein"	"0.5"	2384.2	2384.2	0.90523198	"FLAG"	0.96	2538.2	1.90965158	0.552	0.005
"seq.10452.24"	"10452-24"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	818.8	818.8	1.09714592	"PASS"	1.052	659.2	1.27817671	1.176	0.2
"seq.10453.7"	"10453-7"	3	"SL018233"	"Carcinoembryonic antigen-related cell adhesion molecule 20"	"CEA20"	"Q6UY09"	"125931"	"CEACAM20"	"Human"	"RFU"	"Protein"	"20"	119.4	119.4	0.96758509	"PASS"	1.015	88.4	1.03287197	0.994	0.2
"seq.10454.99"	"10454-99"	3	"SL018290"	"DnaJ homolog subfamily C member 16"	"DJC16"	"Q9Y2G8"	"23341"	"DNAJC16"	"Human"	"RFU"	"Protein"	"20"	158.3	158.3	0.98261949	"PASS"	1.045	154.5	0.97776405	0.954	0.2
"seq.10455.196"	"10455-196"	3	"SL004678"	"Interleukin-31"	"IL-31"	"Q6EBC2"	"386653"	"IL31"	"Human"	"RFU"	"Protein"	"20"	493	493	1.03833193	"PASS"	0.985	287.5	1.00407332	1.025	0.2
"seq.10461.57"	"10461-57"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	176.8	176.8	1.02078522	"PASS"	0.968	176.7	1.12111604	0.972	0.2
"seq.10462.14"	"10462-14"	3	"SL012880"	"Insulin-like peptide INSL5"	"INSL5"	"Q9Y5Q6"	"10022"	"INSL5"	"Human"	"RFU"	"Protein"	"20"	341.7	341.7	0.99014778	"PASS"	0.989	357	1.17584308	0.947	0.2
"seq.10464.6"	"10464-6"	3	"SL008696"	"Anthrax toxin receptor 1"	"ANTR1"	"Q9H6X2"	"84168"	"ANTXR1"	"Human"	"RFU"	"Protein"	"20"	1557.7	1557.7	0.97802474	"PASS"	0.959	1346.4	0.93973214	0.985	0.2
"seq.10467.58"	"10467-58"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	487.5	487.5	0.99246743	"PASS"	1.051	342.7	1.03196444	1.073	0.2
"seq.10471.25"	"10471-25"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	440.9	440.9	1.00045382	"PASS"	1.015	406.3	1.07825874	1.004	0.2
"seq.10476.23"	"10476-23"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	9554.2	9554.2	1.08628472	"PASS"	0.916	10378.3	0.91122556	1.001	0.2
"seq.10477.162"	"10477-162"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	182.6	182.6	0.73927126	"FLAG"	0.236	428.7	5.00273973	0.538	0.2
"seq.10485.56"	"10485-56"	3	"SL005064"	"Melanoma-associated antigen 4"	"MAGE-4"	"P43358"	"4103"	"MAGEA4"	"Human"	"RFU"	"Protein"	"20"	27.3	27.3	0.77777778	"FLAG"	0.448	35.5	8.27272727	0.351	0.2
"seq.10489.19"	"10489-19"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	143.4	143.4	1.04824561	"PASS"	0.959	125.2	1.18316832	1.087	0.2
"seq.10490.3"	"10490-3"	3	"SL011102"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"RPN1"	"P04843"	"6184"	"RPN1"	"Human"	"RFU"	"Protein"	"20"	4658.1	4658.1	0.95480261	"PASS"	0.984	4270	0.96385118	0.962	0.2
"seq.10491.21"	"10491-21"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	2173.2	2173.2	1.09052589	"FLAG"	1.101	1503.6	1.11755631	1.305	0.2
